frame,time_s,forehead_curvature_px,left_cheek_curvature_px,right_cheek_curvature_px,left_chin_curvature_px,right_chin_curvature_px,rigid_curvature_px,local_peak_curvature_px,rigid_velocity_px,hood_curvature_px,face_to_hood_curvature_ratio,curvature_velocity_ratio,robust_z
179,7.160,2.730571,1.755156,3.371232,1.616509,4.402232,2.730571,4.402232,3.416975,0.622545,4.386141,0.747689,0.557631
180,7.200,1.501586,1.370968,4.111581,2.478774,4.177679,2.478774,4.177679,1.216518,0.445961,5.558280,1.069937,0.369723
181,7.240,0.726408,0.827076,4.237969,2.003302,5.332143,2.003302,5.332143,1.805189,0.403908,4.959797,1.325941,0.014895
182,7.280,1.494052,1.373876,5.406399,2.389151,5.633482,2.389151,5.633482,1.818868,0.439376,5.437600,1.318495,0.302841
183,7.320,4.222641,2.603649,5.698043,2.761792,4.646429,4.222641,5.698043,1.484906,0.535862,7.880089,2.556253,1.671110
184,7.360,5.002379,3.756214,7.622686,4.571698,7.585268,5.002379,7.622686,5.042857,0.437635,11.430470,1.532647,2.253001
185,7.400,9.272006,8.377049,12.352988,7.021226,10.966965,9.272006,12.352988,6.508129,0.539819,17.176126,1.605405,5.439274
186,7.440,8.819588,8.106029,11.710735,6.321698,9.525893,8.819588,11.710735,10.092411,0.549458,16.051428,1.062566,5.101650
187,7.480,3.673275,3.741671,6.598361,3.566981,6.217411,3.741671,6.598361,5.825893,0.355698,10.519240,0.470109,1.312179
188,7.520,1.948454,2.005817,3.477525,1.712736,4.023661,2.005817,4.023661,3.650978,0.219869,8.023268,0.423308,0.016772
189,7.560,1.082474,1.290851,1.882073,1.659906,3.493750,1.659906,3.493750,2.029614,0.222135,6.639623,0.584413,-0.241369
190,7.600,0.637986,0.916711,1.382337,0.834434,1.087500,0.916711,1.382337,1.300943,0.196273,3.666843,0.550485,-0.795990
191,7.640,0.762490,1.065045,0.977525,0.968396,1.575446,0.977525,1.575446,1.016981,0.181691,3.910100,0.843449,-0.750606
192,7.680,0.551348,0.670280,1.613696,1.104245,1.419643,1.104245,1.613696,1.286356,0.146174,4.416981,0.958822,-0.656039
193,7.720,0.715107,0.774722,1.858012,0.574528,0.793304,0.774722,1.858012,1.285849,0.133580,3.098890,0.602380,-0.901951
194,7.760,0.644132,0.722105,2.207827,1.348585,1.295536,1.295536,2.207827,0.966038,0.153136,5.182143,1.150622,-0.513286
195,7.800,0.596352,0.756478,2.407985,0.988208,1.295982,0.988208,2.407985,1.198113,0.180903,3.952830,0.913252,-0.742634
196,7.840,0.404639,0.743522,0.805130,1.152830,1.144196,0.805130,1.152830,0.922170,0.192479,3.220518,0.759455,-0.879259
197,7.880,0.561657,0.568482,1.819408,1.059434,1.840179,1.059434,1.840179,1.228774,0.216207,4.237736,0.985088,-0.689480
198,7.920,0.734536,0.877842,1.631412,1.665566,2.748661,1.631412,2.748661,1.386321,0.283777,5.748929,1.247689,-0.262633
